Datum;Etagen
10.02.20 09:36;1.0
10.02.20 09:37;1.0
10.02.20 09:40;5.0
10.02.20 15:33;1.0
10.02.20 16:50;2.0
12.02.20 06:48;3.0
12.02.20 06:56;3.0
12.02.20 11:36;2.0
12.02.20 16:32;1.0
12.02.20 16:40;2.0
13.02.20 06:47;3.0
13.02.20 06:55;1.0
13.02.20 07:11;2.0
13.02.20 08:27;2.0
13.02.20 13:35;1.0
14.02.20 06:44;1.0
14.02.20 06:47;4.0
14.02.20 08:26;3.0
14.02.20 08:36;3.0
14.02.20 14:14;1.0
14.02.20 18:13;2.0
19.02.20 07:51;2.0
19.02.20 12:13;2.0
20.02.20 12:26;1.0
20.02.20 17:42;1.0
20.02.20 17:49;2.0
21.02.20 16:47;2.0
25.02.20 17:22;2.0
27.02.20 07:08;5.0
27.02.20 08:28;2.0
27.02.20 16:36;2.0
28.02.20 08:33;2.0
28.02.20 08:42;1.0
28.02.20 08:52;4.0
28.02.20 22:30;2.0
02.03.20 14:12;2.0
03.03.20 17:17;2.0
05.03.20 06:47;3.0
05.03.20 07:06;4.0
05.03.20 07:16;2.0
05.03.20 14:22;4.0
05.03.20 17:22;2.0
05.03.20 20:10;1.0
06.03.20 07:37;10.0
06.03.20 17:37;2.0
08.03.20 17:43;2.0
